,id,job_title,connections,location,fit
42,43,human resources coordinator intercontinental buckhead atlanta,500,"Atlanta, Georgia",
43,44,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
44,45,native english teacher epik english program korea,500,Kanada,
45,46,aspiring human resources professional,44,"Raleigh-Durham, North Carolina Area",
46,47,people development coordinator ryan,500,"Denton, Texas",
47,48,advisory board member celal bayar university,500,"İzmir, Türkiye",
48,49,aspiring human resources specialist,1,Greater New York City Area,
49,50,student humber college aspiring human resources generalist,61,Kanada,
50,51,hr senior specialist,500,San Francisco Bay Area,
51,52,student humber college aspiring human resources generalist,61,Kanada,
52,53,seeking human resources hris generalist positions,500,Greater Philadelphia Area,
53,54,student chapman university,2,"Lake Forest, California",
54,55,svp chro marketing communications csr officer engie houston woodlands energy gphr sphr,500,"Houston, Texas Area",
55,56,human resources coordinator intercontinental buckhead atlanta,500,"Atlanta, Georgia",
56,57,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
57,58,aspiring human resources professional,44,"Raleigh-Durham, North Carolina Area",
58,59,people development coordinator ryan,500,"Denton, Texas",
59,60,aspiring human resources specialist,1,Greater New York City Area,
60,61,hr senior specialist,500,San Francisco Bay Area,
61,62,seeking human resources hris generalist positions,500,Greater Philadelphia Area,
62,63,student chapman university,2,"Lake Forest, California",
63,64,svp chro marketing communications csr officer engie houston woodlands energy gphr sphr,500,"Houston, Texas Area",
64,65,human resources coordinator intercontinental buckhead atlanta,500,"Atlanta, Georgia",
65,66,experienced retail manager aspiring human resources professional,57,"Austin, Texas Area",
66,67,human resources staffing recruiting professional,500,"Jackson, Mississippi Area",
67,68,human resources specialist luxottica,500,Greater New York City Area,
68,69,director human resources north america groupe beneteau,500,"Greater Grand Rapids, Michigan Area",
69,70,retired army national guard recruiter office manager seeking position human resources,82,"Virginia Beach, Virginia",
70,71,human resources generalist scottmadden,500,"Raleigh-Durham, North Carolina Area",
71,72,business management major aspiring human resources manager,5,"Monroe, Louisiana Area",
72,73,aspiring human resources manager seeking internship human resources,7,"Houston, Texas Area",
73,74,human resources professional,16,Greater Boston Area,
74,75,nortia staffing seeking human resources payroll administrative professionals,500,"San Jose, California",
75,76,aspiring human resources professional passionate helping create inclusive engaging work environment,212,"New York, New York",
76,77,human resources conflict management policies procedures talent management benefits compensation,409,Dallas/Fort Worth Area,
77,78,human resources generalist schwans,500,Amerika Birleşik Devletleri,
78,79,liberal arts major aspiring human resources analyst,7,"Baton Rouge, Louisiana Area",
79,80,junior mes engineer information systems,52,"Myrtle Beach, South Carolina Area",
80,81,senior human resources business partner heil environmental,455,"Chattanooga, Tennessee Area",
81,82,aspiring human resources professional energetic team focused leader,174,"Austin, Texas Area",
82,83,hr manager endemol shine north america,268,"Los Angeles, California",
83,84,human resources professional world leader gis software,50,"Highland, California",
84,85,rrp brand portfolio executive jti japan tobacco international,500,Greater Philadelphia Area,
85,86,information systems specialist programmer love data organization,4,"Gaithersburg, Maryland",
86,87,bachelor science biology victoria university wellington,40,"Baltimore, Maryland",
87,88,human resources management major,18,"Milpitas, California",
88,89,director human resources ey,349,Greater Atlanta Area,
89,90,undergraduate research assistant styczynski lab,155,Greater Atlanta Area,
90,91,lead official western illinois university,39,Greater Chicago Area,
91,92,seeking employment opportunities customer service patient care,64,"Torrance, California",
92,93,admissions representative community medical center long beach,9,"Long Beach, California",
93,94,seeking human resources opportunities open travel relocation,415,Amerika Birleşik Devletleri,
94,95,student westfield state university,57,"Bridgewater, Massachusetts",
95,96,student indiana university kokomo business management retail manager delphi hardware paint,19,"Lafayette, Indiana",
96,97,aspiring human resources professional,71,"Kokomo, Indiana Area",
97,98,student,4,"Houston, Texas Area",
98,99,seeking human resources position,48,"Las Vegas, Nevada Area",
99,100,aspiring human resources manager graduating seeking entry level human resources position st louis,103,"Cape Girardeau, Missouri",
100,101,human resources generalist loparex,500,"Raleigh-Durham, North Carolina Area",
101,102,business intelligence analytics travelers,49,Greater New York City Area,
102,103,set success,500,Greater Los Angeles Area,
103,104,director administration excellence logging,500,"Katy, Texas",
